Company;Position;Requirement;Description;Quota;Available;Address;
PT. Go Online Destinations (Pegipegi);Software Engineer;Requirements :    Possess strong problem-solving.  Ability to adapt to a fast-paced environment with a strong commitment to learning.  Ability to work collaboratively with others.  Being familiar with Javascript frameworks (Vue.js, Nuxt.js, React) is a plus  Good understanding of software engineering concepts, algorithms, and design patterns.  Knowledge in the travel/hospitality domain is an advantage.;About Pegipegi  Pegipegi is one of the leading online travel agents in Indonesia. We help people by making travel more accessible for all Indonesians.   A career at Pegipegi is all about journey, where you set your goal and explore new challenges in a place where you can be your best self. With plenty of exciting twists, turns and opportunities along the way.    When you join us, you’ll be part of a community where making things happen counts. Taking different paths and trying something new is celebrated and supported. Making connections with people is encouraged.    That’s why we’re always looking for people who search for better solutions, the ones eager to discover new frontiers and stray off the beaten path to reach the final destination. Because at Pegipegi it’s more than a job, it’s a journey we’re on together.    What is Tech Rookie Internship Program?  Tech Rookie Internship Program (TRIP)  is an internship program in Pegipegi which allows young talent in Tech and Product to explore, gain, and grow their skills and network while making real-impact in #RealizingTraveling to all Indonesians    Why TRIP?  Make an impact and leave an impression by contributing to a real project  Learning opportunities to accelerate your personal and professional development from our leaders  Direct opportunity as full time employee    Responsibilities:  Own low-to-medium complexity of end-to-end development in product backend and frontend domain.  Predictable and reliable engineer to deliver product deliveries with technical excellence.  Responsible for doing any research needed as an enabler to achieve high-level quality of systems.;1;0;AKR Tower Jl. Panjang No.5, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530;
NTT Indonesia Technology;Data Engineer;- Candidate must have knowledge of Data Management application such as DBMS/ETL/SSIS/Talend/Informatica/Azure Synapse/AWS Glue/GCP BigQuery/Python/AI/ML  - A Barchelor's in Information Technology or Information System  - Ability to demonstrate an understanding of computer science fundamentals, including data structures and algorithms;- The candidate will have to build data programs and services  - The candidate will have to manage communication and presentation skill  - The candidate will also be expected to demonstrate an ability to learn and adopt relevant new technologies, tools, methods and processes to leverage in your solutions.;4;4;DBS Tower 22nd floor, Jl. Prof. DR. Satrio No.Kav. 3 - 5, RT.18/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940;
NTT Indonesia Technology;Front End Developer;Completed or in process of a Bachelor’s degree in information technology or information system discipline highly preferred.  Familiarity with React JS/ Next JS, HTML, CSS  Familiarity with modern front-end build pipelines and test frameworks  Ability to understand business requirements and translate into technical requirements;Collaborate with web designers and back-end developers to complete projects  Create wireframes and mockups of site/application designs  Turn feedback into custom solutions for client needs  Optimize sites/apps to improve performance and efficiency  Author technical documentation;2;2;DBS Tower 22nd floor, Jl. Prof. DR. Satrio No.Kav. 3 - 5, RT.18/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940;
NTT Indonesia Technology;Back End Developer;Bachelor’s degree in computer programming, computer science, or information technology.  More education or experience may be required.  Fluency or understanding of specific languages, such as Java/ Net Programming, PHP, or Python, and operating systems may be required.  Focus on efficiency, user experience, and process improvement.  Excellent project and time management skills.  Strong problem solving and verbal and written communication skills;Compile and analyze data, processes, and codes to troubleshoot problems and identify areas for improvement.  Collaborating with the front-end developers and other team members to establish objectives and design more functional, cohesive codes to enhance the user experience.  Developing ideas for new programs, products, or features by monitoring industry developments and trends.;2;2;DBS Tower 22nd floor, Jl. Prof. DR. Satrio No.Kav. 3 - 5, RT.18/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940;
PT. Sofco Graha;Programmer;- Undergraduate degree Computer Science, Information Technology, or other related majors (With no class)  - Managing multiple tasks and timeline in a fast-pace environment  - Have a good communication skill  - Have a good strategic thinking, especially in analytical thinking   - Eager to learn and a strong team player  - Having foreign language skills (English) is preferred  - Able to do onsite internship period  ;- Working alongside Product Team to develop engaging & responsive user interfaces with HTML, CSS and modern JavaScript     frameworks  - Develop performance oriented front end & back end binding  - Work with back-end developers to design and interface REST APIs  - Perform code reviews and basic troubleshooting  - Build reusable code and libraries for future use  ;3;2;Griya Konimex Lt. 3;
PT Tunas Sawa Erma;Programmer;Join into project of Java Development Team.  ;Understand and know about Java Programming.;2;0;Wisma Korindo, Jl. MT. Haryono Kav.62;
PT Tunas Sawa Erma;Mobile Programmer;Join into project with mobile application team.  ;Understand and know about Java or Mobile application (Kotlin).;2;2;Wisma Korindo, Jl. MT. Haryono Kav.62;
PT Tibeka Logistik Indonesia;Front End Developer;Posisi ini bertanggung jawab untuk mengembangkan front-end situs web yang cepat, responsif, dan ramah pengguna untuk ekosistem Waresix sambil meningkatkan kinerja aplikasi yang ada.  Berikut Job Requirement yang dapat menjadi nilai tambah calon intern :  - Jurusan  S1 di bidang Teknik, Ilmu Komputer, atau jurusan terkait.  - Keterampilan pemrograman yang rapi dan kuat  - Growth mindset  - Tulis kode yang efisien dan bersih  - Pemahaman OOP yang kuat  - Struktur data yang kuat dan fundamental ilmu komputer  - Berpengalaman dalam menggunakan kontrol versi (Git)  - Berpengalaman dalam pengembangan situs web menggunakan ReactJS dan kerangka kerja lainnya  - Berpengalaman dalam merancang dan mengimplementasikan front-end situs web berbasis reaktif yang efisien  - Berpengalaman dan memahami proses pengujian, mis. berkolaborasi dengan kerangka otomatisasi pengujian untuk pengujian front-end dan back-end  - Berpengalaman dalam bekerja dengan tim skala besar dalam pengembangan perangkat lunak  - Berpengalaman dalam bekerja dengan API menggunakan REST API atau gRPC berbasis JSON  - Berpengalaman dalam merancang kerangka kerja proyek front-end yang dapat diskalakan merupakan nilai tambah;- Pengembangan Produk, Alat, dan Fitur  Mengembangkan aplikasi tampilan web yang rapih dan tidak berat.  Meneliti, analisis, menguji, membuat tolak ukur, dan evaluasi teknologi baru.  Berkolaborasi sebagai bagian dari tim untuk membuat aplikasi yang diluncurkan tepat waktu.  Menjaga tampilan aplikasi yang sudah ada.  Membuat kode yang berkualitas tinggi, rapih, dan dapat dipelihara menggunakan praktik terbaik engineering (uji coba unit, kontrol sumber, integrasi berkelanjutan, otomatisasi, merencanakan bentuk, dsb.).  Menulis, mengelola, dan memperbaharui dokumentasi yang berkaitan dengan pengembangan.  Bertanggung jawab untuk memastikan kesesuaian dari design web dan persyaratan pengalaman user, mengoptimalisasi halaman web untuk efisiensi yang maksimum, dan menjaga konsistensi brand di seluruh halaman web.    - Kolaborasi Proyek Produk  Bekerja bersama dengan tim Engineering Manager, Product Manager, Designer dan Engineer untuk membuat, menguji, dan menyebarkan produk.  Mengerti persyaratan proyek, menjelaskan kasus pengujian untuk pengembangan, dan mengikuti alur kerja pengembangan software.  Menulis, mengelola, dan memperbaharui proses pengembangan pada tools manajemen proyek yang sudah ada.    - Optimalisasi Produk  Memiliki pemahaman terkait bisnis dan produk, secara konstan mengoptimalisasi, identifikasi, dan memperbaiki produk, serta meningkatkan stabilitas dan pengalaman pengguna.  Optimalisasi aplikasi untuk performa dan skalabilitas maksimum.;3;3;Gandaria 8 Office Tower, Jalan Sultan Iskandar Muda No.10 Jakarta Selatan, Indonesia 12240;
PT Tibeka Logistik Indonesia;Back End Developer;Posisi ini bertanggung jawab untuk melakukan pengembangan web server dan produk digital untuk ekosistem Waresix sekaligus meningkatkan performa aplikasi yang ada.  Berikut Job Requirement yang akan menjadi nilai tambah :  - Jurusan Computer Science, Computer Engineering, atau bidang terkait.  - Keterampilan pemrograman yang rapi dan kuat  - Growth mindset.  - Tulis kode yang efisien dan bersih  - Pemahaman OOP yang kuat  - Struktur data yang kuat dan fundamental ilmu komputer  - Berpengalaman dalam menggunakan kontrol versi (Git)  - Berpengalaman dalam pengembangan server web menggunakan Go  - Berpengalaman dalam merancang dan mengimplementasikan struktur database yang efisien untuk server web  - Berpengalaman dan memahami proses pengujian, mis. berkolaborasi dengan kerangka otomatisasi pengujian untuk pengujian front-end dan back-end  - Berpengalaman dalam bekerja dengan tim skala besar dalam pengembangan perangkat lunak  - Berpengalaman dalam mengembangkan API menggunakan REST API atau gRPC berbasis JSON  - Berpengalaman dalam merancang arsitektur perangkat lunak yang dapat diskalakan dengan pola desain yang benar merupakan nilai tambah  - Berpengalaman dalam ekosistem layanan mikro merupakan nilai tambah;- Pengembangan Produk, Alat, dan Fitur  Mengembangkan aplikasi server web yang rapih dan tidak berat.  Meneliti, analisis, menguji, membuat tolak ukur, dan evaluasi teknologi baru.  Berkolaborasi sebagai bagian dari tim untuk membuat aplikasi yang diluncurkan tepat waktu.  Menjaga server aplikasi yang sudah ada.  Membuat kode yang berkualitas tinggi, rapih, dan dapat dipelihara menggunakan praktik terbaik engineering (uji coba unit, kontrol sumber, integrasi berkelanjutan, otomatisasi, merencanakan bentuk, dsb.).  Menulis, mengelola, dan memperbaharui dokumentasi yang berkaitan dengan pengembangan.  Mengumpulkan dan menganalisa data, memproses dan mengcoding untuk menyelesaikan masalah dan mengidentifikasi pengembangan area.    - Kolaborasi Proyek Produk  Bekerja bersama dengan tim Engineering Manager, Product Manager, Designer dan Engineer untuk membuat, menguji, dan menyebarkan produk.  Mengerti persyaratan proyek, menjelaskan kasus pengujian untuk pengembangan, dan mengikuti alur kerja pengembangan software.  Menulis, mengelola, dan memperbaharui proses pengembangan pada tools manajemen proyek yang sudah ada.    - Optimalisasi Produk  Memiliki pemahaman terkait bisnis dan produk, secara konstan mengoptimalisasi, identifikasi, dan memperbaiki produk, serta meningkatkan stabilitas dan pengalaman pengguna.  Optimalisasi aplikasi untuk performa dan skalabilitas maksimum.;3;3;Gandaria 8 Office Tower, Jalan Sultan Iskandar Muda No.10 Jakarta Selatan, Indonesia 12240;
PT Saka Farma Laboratories (Kalbe Consumer Health);IT Support;- Undergraduate student majoring in Computer Science, Information Technology, Computer Engineering or Equivalent  ??- Have a great interpersonal and communication skill  ??- Familiar with Query is Preferred  - Good Analytical, Good logic and fast-learned (SQL, PL/SQL)  - ??Available for an internship with a term of 12 months  - Willing to bring personal devices  - Willing to do on-site working to manufacture - GIIC Cikarang, West Java;- Develop Dashboard Oracle  ??- Conduct business and user requirement analvsis  - ??Create system, documentation, database, flowchart, business process, application and testing scenario  - ??Coordinate with business user and programmer team in software development project;1;1;Greenland International Industrial Center (GIIC) Blok BB No. 6, Kota Deltamas,;
PT Saka Farma Laboratories (Kalbe Consumer Health);Systems Analyst;- Undergraduate student majoring in Computer Science, Information Technology or equivalent.  ??- Have a strong analytical, problem-solving skills, excellent communication, teamwork and interpersonal skills.  - Familiar with design tools, example : Figma  - Familiarity with operating systems, databases, and programming languages is a plus.  - Eagerness to learn and adapt to new technologies and tools  - ??Willing to bring personal devices  - ??Willing to do on-site working to Head Office Altira Sunter, North Jakarta;- Assist in monitoring the performance and availability of software applications using monitoring tools and techniques.   - Collaborate with senior analysts and developers to troubleshoot and resolve application-related issues.   - User Support: Provide support to end-users by addressing their queries and issues related to software applications.   - Create and maintain comprehensive documentation, including user guides, standard operating procedures (SOPs), and knowledge base articles  - Participate in testing activities, including functional testing, regression testing, and user acceptance testing (UAT);1;0;Altira Business Tower Lt.11, Jl Yos Sudarso Kav.85 Sunter;
PT Saka Farma Laboratories (Kalbe Consumer Health);Application Developer;- Undergraduate student in Information Technology or equivalent  ??- Have a basic understanding of DDL, DML.  - Have understanding and experience building information systems based on mobile apps, web apps or desktop apps.  - Have a basic understanding of system integration (API)??  - Available for an internship with a term of 12 months  ??- Willing to bring personal devices  - ??Willing to do on-site working to Head Office Altira, North Jakarta  ;- Build web or mobile applications according to user needs  - Coordinate with internal IT team and corporate IT related to application development  ;2;0;Altira Business Tower Lt.11, Jl Yos Sudarso Kav.85 Sunter;
PT Saka Farma Laboratories (Kalbe Consumer Health);Application Developer;- Undergraduate student majoring in Computer Science, Information Technology, Computer Engineering or equivalent.  ??- Have a great interpersonal and communication skill  ??- Available for an internship with a term of 12 months  - ??Willing to bring personal devices  - ??Willing to do on-site working to Head Office Altira Sunter, North Jakarta;- Experience on SQL Query, Ms. SQL Server, PostgreSQL.  ??- Familiar with Javascript, Nodes, and Nexts framework  ??- Familiar with PHP and Larave tramework.  ?- ?Willing to learn and can work with a team.  ??- Passionate with Technologies.  ??- Willing to support the Marketing division;2;0;Altira Business Tower Lt.11, Jl Yos Sudarso Kav.85 Sunter;
PT. TRIMITRA TRANS PERSADA (B-LOG);Mobile Programming (Android) Dev.;Menguasai android native baik menggunakan android studio atau tools yang lain;Akan terlibat dalam pembuatan program Mobile Application (android)  - Mengusai Android Native ;1;1;?Gedung Alfa Tower Lantai 28, Jl Jalur Sutera Barat Kav 7-9 Alam Sutera Serpong Tangerang;
PT. TRIMITRA TRANS PERSADA (B-LOG);Mobile Programming (Android) Dev.;Pemahaman yang kuat tentang bahasa pemrograman Java atau Kotlin, yang umumnya digunakan untuk pengembangan aplikasi Android.  Anda harus memahami berbagai komponen dan alat yang disediakan oleh Android SDK, termasuk Activity, Fragment, Layout XML, dan lainnya.;Akan terlibat dalam pembuatan program Mobile Application (android)  - Mengusai Android Native ;2;2;?Gedung Alfa Tower Lantai 28, Jl Jalur Sutera Barat Kav 7-9 Alam Sutera Serpong Tangerang;
PT. TRIMITRA TRANS PERSADA (B-LOG);Mobile Programming (Android) Dev.;- Mengerti Ms Project atau tools yang sejenis  - Mempunya komunikasi skill yang baik  - Proactively working on self improvements in terms of technical and project management skills;Akan terlibat dalam kegiatan  proyek yang meliputi:  -  Kordinasi dan perencanaan proyek  - Monitoring timeline kegiatan proyek  - Melakukan pembuatan dokumentasi yang terkait dengan proyek  - Melakukan komunikasi dengan stake holder terkait dengan proyek;2;2;?Gedung Alfa Tower Lantai 28, Jl Jalur Sutera Barat Kav 7-9 Alam Sutera Serpong Tangerang;
PT. TRIMITRA TRANS PERSADA (B-LOG);Web Developer;Diuatamakan mengerti javascript, css dan PHP baik dengan framework Laravel, CI ataupun native;Akan terlibat dalam pembuatan program web application ataupun API;2;1;Alfa Tower, Jl. Jalur Sutera Bar. No.Kav. 7-9, RT.003/RW.006, Alam Sutera, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143;
PT. TRIMITRA TRANS PERSADA (B-LOG);Full Stack Developer;Pemahaman yang kuat tentang bahasa pemrograman seperti Node.js, Python, Ruby, PHP, Java, atau C# untuk mengembangkan logika bisnis dan backend.;- Assist to create program that will integrate with core system and SAP  - Assist to create/ Build API, Front End and System  - Assist to build Micro Services Application;2;2;?Gedung Alfa Tower Lantai 28, Jl Jalur Sutera Barat Kav 7-9 Alam Sutera Serpong Tangerang;
PT. TRIMITRA TRANS PERSADA (B-LOG);Systems Analyst;Minimal menguasai basic Excel, SQL, BPMN (Business Process Model and Notation);Akan terlibat dalam perancangan System Aplikasi (Mengerti dasar-dasar UML dan Scrum);2;0;?Gedung Alfa Tower Lantai 28, Jl Jalur Sutera Barat Kav 7-9 Alam Sutera Serpong Tangerang;
PT. TRIMITRA TRANS PERSADA (B-LOG);Programmer;Kemampuan untuk menulis kode komputer yang efisien dan efektif menggunakan bahasa pemrograman tertentu, seperti Python, Java, C++, JavaScript, Ruby, atau bahasa lainnya sesuai dengan proyek yang dihadapi.;Akan terlibat dalam pembuatan program baik Web Application ataupun Mobile Application  Wajib menguasai PHP, Android studio, .NET;2;2;?Gedung Alfa Tower Lantai 28, Jl Jalur Sutera Barat Kav 7-9 Alam Sutera Serpong Tangerang;
PT. TRIMITRA TRANS PERSADA (B-LOG);IT Support;- Pengetahuan yang baik tentang sistem operasi seperti Windows, Linux, macOS, dan mobile OS seperti Android dan iOS.  - Pengetahuan tentang sistem manajemen hubungan pelanggan (CRM) dan sistem bantuan (help desk) untuk melacak dan mengelola permintaan dukungan.;Akan membantu dalam penanganan permasalahan networking baik itu pada router (mikrotik) atau switch dan trouble shoot perangkat keras.;2;2;Gedung Alfa Tower Lantai 29, Jl Jalur Sutera Barat Kav 7-9 Alam Sutera Serpong Tangerang;
PT. TRIMITRA TRANS PERSADA (B-LOG);IT Support;- Pengetahuan yang baik tentang sistem operasi seperti Windows, Linux, macOS, dan mobile OS seperti Android dan iOS.  - Pengetahuan tentang sistem manajemen hubungan pelanggan (CRM) dan sistem bantuan (help desk) untuk melacak dan mengelola permintaan dukungan.;Akan membantu dalam penanganan permasalahan networking baik itu pada router (mikrotik) atau switch dan trouble shoot perangkat keras.;1;1;Gedung Alfa Tower Lantai 29, Jl Jalur Sutera Barat Kav 7-9 Alam Sutera Serpong Tangerang;
PT. TRIMITRA TRANS PERSADA (B-LOG);IT Support;Pengetahuan yang baik tentang sistem operasi seperti Windows, Linux, macOS, dan mobile OS seperti Android dan iOS.  Pengetahuan tentang sistem manajemen hubungan pelanggan (CRM) dan sistem bantuan (help desk) untuk melacak dan mengelola permintaan dukungan.;Akan membantu dalam penanganan permasalahan networking baik itu pada router (mikrotik) atau switch dan trouble shoot perangkat keras.;1;1;Gedung Alfa Tower Lantai 29, Jl Jalur Sutera Barat Kav 7-9 Alam Sutera Serpong Tangerang;
PT. TRIMITRA TRANS PERSADA (B-LOG);IT Support;- Memahami perangkat keras (PC, Laptop)  - Memahami mengenai kabel jaringan  - Memahami Ms Windos baik 10 ataupun 11  - Memahami cara kerja jaringan ;Akan membantu dalam penanganan permasalahan networking baik itu pada router (mikrotik) atau switch dan trouble shoot perangkat keras.;3;3;Gedung Alfa Tower Lantai 29, Jl Jalur Sutera Barat Kav 7-9 Alam Sutera Serpong Tangerang;
PT Sarana Solusindo Informatika;System Engineer;Qualifications:   1. Having good technical skill   2. Fast learner, well-adapted, excellent communication and good interpersonal;Job Description :   • Develop Application Using C# and MS Power Platform (Power Apps, Power Automate, dll)   • Create Dashboard Using Microsoft Power BI   • Deploy MS Office 365 (MS Teams, Sharepoint , Office dll)   • Training Microsoft Product   • Design ,Deploy, Maintain, Helpdesk Microsoft Infrastructure System;4;4;Jalan Sisingamangaraja no 53;
PT Nan Darma Kanigara;Mobile Programmer;- Strong understanding of mobile UI principles and best practices.  - Excellent problem-solving and analytical skills.;- Collaborate with the development team to create functional and user-friendly mobile applications.  - Design and build advanced applications for the iOS and/or Android platforms.  - Participate in the entire application lifecycle, from concept and design to testing and release.  - Troubleshoot and debug to optimize performance.  - Keep up to date with the latest mobile application technologies and industry trends.;1;1;Batununggal Indah Raya No. 369, Batununggal, Bandung;
PT Nan Darma Kanigara;Full Stack Developer;- Proficiency in front-end technologies (HTML, CSS, JavaScript) and modern JavaScript frameworks (React, Angular, Vue).  - Strong knowledge of back-end technologies and frameworks (Node.js, Django, Ruby on Rails, etc.).  - Experience with database systems (SQL and NoSQL).  - Understanding of server architecture and cloud services.  - Excellent problem-solving and teamwork abilities.;- Develop and maintain both front-end and back-end components of web applications.  - Design user interactions on web pages and develop back-end servers and APIs.  - Collaborate with the design and product teams to translate designs and wireframes into high-quality code.  - Identify and resolve performance and security issues.  - Work on various projects and initiatives, ensuring optimal functionality and user experience.  - Coding new features for front-end ;1;1;Batununggal Indah Raya No. 369, Batununggal, Bandung;
Lembaga Pembiayaan Ekspor Indonesia/ Indonesia Eximbank;IT Support;1. Mampu melakukan troubleshoot perangkat komputer baik hardware maupun software  2. Memiliki pemahaman pengoperasian perangkat pendukung seperti printer, scanner, dll;Intern Divisi IT (Dept. Pengembangan Otomasi Perkantoran)  1. Melakukan fungsi helpdesk aplikasi office automation untuk membantu trouble shoot  2. Mendampingi tim pengembangan sistem dalam tahapan implementasi sistem;1;1;Prosperity Tower, SCBD Jakarta;
PT Prodia Widyahusada Tbk;Full Stack Developer;1. Student or fresh graduate in Informatics Engineering / Information Systems / Computer Science.  2. Minimum GPA 3.00 (scale 4.00).  3. Willing to learn fullstack programming (backend & frontend).  4. Knowledge in using databases.  5. Have an interest in learning Java, Go Lang, PHP, React JS, PL SQL Query, and AWS.  6. Able to start immediately with a minimum 12 months internship period.  7. Willing to work from office, Central Jakarta.;1. Participate and discuss web/application development at Prodia.  2. Involved in unit testing of web / applications that have been worked on. As well as evaluating and improving the web/application.  3. Analyze and provide recommendations for the development (enhancement) of the web / application that has been created.;2;0;Jalan Kramat Raya No 150;
PT Prodia Widyahusada Tbk;Data Engineer;1. Student or fresh graduate in Informatics Engineering / Information System / Computer Science.Minimum GPA 3.00 (scale 4.00)  2. Able to start immediately with a minimum 3 months internship period.  3. Willing to work from office, Central Jakarta.;1. Manage data pipelines from data sources.  2. Develop, modify, improve, and enhance new functionality in the data pipeline and document the ETL design.  3. Ensure user and receive requested data that can be used responsibly.  4. Transfer knowledge in data management and data analysis.;1;0;Kramat Raya No.150, Jakarta Pusat;
PT Xylo Solusi Indonesia;Full Stack Developer;"- good logic  - able to code in html,css, JS, and PHP  - know laravel is a plus  - know figma is a plus""      ";- Website maintenance and website development          ;5;5;Office Park Thamrin City;
PT. DUA PULUH TIGA;Systems Analyst;Memiliki pengetahuan basic mengenai UML, DFD, ERD, Flowchart  Memiliki pengetahuan basic mengenai analisis proses sistem bisnis  Memiliki pengetahuan basic mengenai dan blueprint hasil analisa proses bisnis  Mampu memberikan saran untuk improvement proses  Bersedia ditempatkan di Bandung;Menganalisis proses sistem bisnis  Membuat blueprint hasil analisa proses bisnis  Memberikan saran untuk improvement proses;1;1;Jl. Kopo Bihbul Raya no 68. Kel. Sayati, Kec. Margahayu.;
PT. DUA PULUH TIGA;Systems Analyst;Mahasiswa semester akhir (min. semester 6)  Memiliki pengetahuan basic mengenai UML, DFD, ERD, Flowchart  Memiliki pengetahuan basic mengenai analisis proses sistem bisnis  Memiliki pengetahuan basic mengenai dan blueprint hasil analisa proses bisnis  Mampu memberikan saran untuk improvement proses  Bersedia ditempatkan di Bandung;Menganalisis proses sistem bisnis  Membuat blueprint hasil analisa proses bisnis  Memberikan saran untuk improvement proses;1;1;Jl. Kopo Bihbul Raya no 68. Kel. Sayati, Kec. Margahayu.;
PT Pralon;Programmer;1. Have understanding of Web Programming (PHP. HTML, Java Script)  2. Have understanding of Mobile Programming (Flutter)  3. Comfortable with numbers, metrics, excel  4. Good attitude, good integrity and behaviour  5. Required language (s): English, Bahasa Indonesia  6. Willing to be placed at Head Office PT.Pralon, Alam Sutera, Tangerang;1. Understand the needs of system/application/program  2. Create application code based on needs and design  3. Testing applications/programs  4. Install and configure applications/programs  5. Assist in making documentation;3;2;Head office, Synergy Building, Alam Sutera Serpong Tangerang, Banten;
PT Bumi Amartha Teknologi Mandiri ;IT Support;Capacity to work independently and collaboratively.  Able to work in a fast-paced environment, working as a team, and pay attention to detail.  Ability to provide technical support and resolve queries.   In-depth knowledge of computer hardware, software, and networks.  Working towards a common goal.;Installation, configuration & evaluation of computers/laptops, hardware & software.  Troubleshooting software & hardware, and being responsible for supporting machines such as printers, scanners.  Check and update any operating system updates, as well as applications used by users  Create & maintain mail server and provide to employees.   Maintain internal network, bandwidth and filtering users access.   Create a Virtual Machine for internal server purposes.  Create VPN access for internal server access purposes.  Maintain LDAP users for internal user needs.  Maintain asset all employees include entry data and manage service.  Manage linux server, use debian proxmox. ;1;1;Chase Plaza 9th Floor Jl. Jend. Sudirman Kav. 21 Jakarta, Indonesia 12920, KARET, SETIA BUDI, JAKARTA SELATAN, DKI JAKARTA 12920;
PT Bumi Amartha Teknologi Mandiri ;Data Engineer / Developer;Good understanding of Data Integration, data modeling, and data architecture.  Good SQL script Knowledge.  Strong knowledge of ETL concepts and tools.  Proficiency in at least one of the mentioned ETL Tools (SSIS, Informatica, Talend, Data Stage, Pentaho).  Good problem-solving skills.  Good communication and teamwork abilities.;Implement data modelling concept driven by business requirements.  Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL.  Maintaining database.  Create and maintain optimal data pipeline architecture for data integration using provided ETL tools (e.g. SSIS, Informatica, Talend, IBM Data Stage).  Build data ingestion workflow for data warehouse/data marts/operational data store • Build database based on specification provided.  Perform SQL Query tuning.  Provide logical analysis and solution.;4;4;Chase Plaza 9th Floor Jl. Jend. Sudirman Kav. 21 Jakarta, Indonesia 12920, KARET, SETIA BUDI, JAKARTA SELATAN, DKI JAKARTA 12920;
PT. Password Solusi Sistem;Data Analyst;1. Knowledge for Database Query Languange (Must)  2. Knowledge for Phyton Programming Languange  3. Knowledge for ETL / ELT tools, Data Warehouse and Data Cloud will be advantage;Doing Collaboration Project Development in Big Data Analytic (End to End) for Internal and External Business Process;1;1;Wisma 77 Tower 1, 15th floor, Jl. Letjen S. Parman Kav. 77, RT.6/RW.3, Kel. Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta ;
PT. Password Solusi Sistem;Technical Consultant;- Skill required (mandatory): PHP and Framework Laravel  - Master in CSS, Ajax, JavaScript, HTML is a plus;Doing collaboration project development for CRM & Project Control;2;2;Wisma 77 Tower 1, 15th floor, Jl. Letjen S. Parman Kav. 77, RT.6/RW.3, Kel. Slipi, Kec. Palmerah, Kota Jakarta Barat,;
PT Asuransi Tugu Pratama Indonesia;ERP Specialist;-Passionate in programming   -Having experience in PHP web development   -Having knowledge in Python is an advantage   -Willing to Work From Office (WFO) at Wisma Tugu 1, Rasuna Said, Jakarta Selatan   -Available for 6 months internship ;-Design, implement, and maintain web application   -Writing application with PHP   -Application and integration testing ;1;1;Wisma Tugu I, Jl. H. R. Rasuna Said No.Kav. C8-9, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920;
PT. Global Mulya Jaya;IT Support;Knowledge in Javascript, CSS, and HTML.  Knowledge in Front-end Javascript Framework or Library such as angular, react, or vue.  Preferred knowledge in typescript.  Excellent troubleshooting skills.  Eagerness to learn and implement software engineering best practice.;- Monitoring systems, networks (servers), desktops and networks  - Perform network, hardware and software troubleshooting;1;1;PLAZA BANK INDEX, JL MH THAMRIN NO. 57 JAKARTA PUSAT, LANTAI 8;
WIR Group;Application Developer;• Having knowledge in :          Odoo ERP platform (version 15 or later)          Python programming language          Odoo modules development and customization          Odoo workflows development and customization          Odoo API and integration with other systems          Git version control system    • Familiar with Linux environment  ;• Having knowledge in :          Odoo ERP platform (version 15 or later)          Python programming language          Odoo modules development and customization          Odoo workflows development and customization          Odoo API and integration with other systems          Git version control system    • Familiar with Linux environment;1;1;Sequis Tower;
WIR Group;Development and Operations (DevOps) Engineer;• Last year college student or fresh graduate from bachelor’s degree Computer Science, Engineering or relevant field  • Interest in DevOps Engineering or similar software engineering   • Having knowledge of :       Linux based infrastructure          Git and Git Workflow          Managing database such as MySQL, Mongo          Ruby, Phyton, Perl and Java   ;Intern as DevOps Engineer;1;1;Jl. Panjang Raya, Kebon Jeruk, Jakarta Barat;
PT. Altika Murni Internusa;IT Support;-;Managing and maintaining as well as improving the company’s IT Infrastructure.;1;1;Ruko Kemang Pratama, Jl Duta I Blok MM 32 Rawa Lumbu, Bekasi Jawa Barat - Indonesia;
PT Adicipta Boga Intiprima;Mobile Programmer;BS/MS degree in Computer Science, Engineering or a related subject  • Experience as a Flutter Engineer/Developer or in a similar role.  • Strong understanding of OOP concepts and design patterns  • Experience with mobile app development (iOS and/or Android)  • Strong understanding of how app development works  • Good problem-solving skills;Designing and developing user-friendly applications  • Ensuring applications are compatible with multiple platforms  • Identifying and resolving software defects  • Providing support and maintenance for applications;1;0;Jl Palmerah Barat No 9, Jakarta ;
